av_score,av_num_subs
28.521733595080402,2.562469377756002
29.36760124610592,1.796641791044776
18.361539542805318,4.393810032017075
9.082456383842716,4.537604456824512
18.142517405467775,2.9829787234042553
8.612582781456954,3.363028953229399
8.687409551374818,3.3872549019607843
15.326136363636364,2.6586102719033233
15.504297321598704,5.125
11.999739583333334,3.1270358306188926
7.029844043258556,3.373502994011976
12.440100882723833,2.278735632183908
13.741477272727273,1.934065934065934
21.455823293172692,3.093167701863354
12.38013382003788,4.122916666666667
10.643636363636364,4.086181277860327
24.60989932885906,1.6021505376344085
20.478660607263677,2.132890365448505
6.139562813994022,4.496598639455782
6.198522102001101,4.586666666666667
1.397694226292689,3.9557522123893807
7.062970258644461,4.776315789473684
2.4597701149425286,5.635627530364372
6.139508984982967,3.324675324675325
2.7815810920945396,4.173469387755102
2.0995273870580338,3.181286549707602
0.7633711507293355,3.716867469879518
0.0,3.6808510638297873
0.0,5.4941176470588236
